Time (ms),Voltage (V),Current (A),Temperature (°C),Motor Speed (RPM),Hall Code,Estimated SOC (%),Ground Truth SOC (%),Residual (%),Fault Label
0,3.65,3.74,21.5,1350,111,88.7,87.7,1.0,Normal
100,3.59,2.33,35.3,1263,010,90.0,90.4,0.4,Normal
200,3.66,1.23,31.0,1267,010,97.9,98.60000000000001,0.7,Normal
300,3.75,2.5,38.2,1320,000,92.9,90.60000000000001,2.3,Warning
400,3.58,4.78,33.1,1290,001,92.9,92.2,0.7,Normal
500,3.58,3.57,26.2,1269,010,99.4,102.30000000000001,2.9,Warning
600,3.76,3.69,28.8,1144,110,89.8,87.5,2.3,Warning
700,3.68,3.53,18.7,1113,001,92.2,92.60000000000001,0.4,Normal
800,3.55,1.8,25.5,1330,110,97.2,96.60000000000001,0.6,Normal
900,3.65,2.67,28.1,1256,011,96.4,95.30000000000001,1.1,Warning
1000,3.55,4.0,32.7,1233,101,89.0,90.7,1.7,Warning
1100,3.55,1.41,26.2,1136,010,87.3,87.2,0.1,Normal
1200,3.62,2.11,23.8,1152,001,95.5,93.0,2.5,Warning
1300,3.41,2.11,20.6,1117,111,88.9,86.80000000000001,2.1,Warning
1400,3.43,2.73,27.0,1137,110,98.8,98.7,0.1,Normal
1500,3.54,4.92,39.8,1286,000,86.9,85.30000000000001,1.6,Warning
1600,3.5,1.27,31.4,1295,110,89.8,88.0,1.8,Warning
1700,3.63,3.07,34.7,1342,110,85.8,84.1,1.7,Warning
1800,3.51,1.72,25.5,1399,011,95.5,96.7,1.2,Warning
1900,3.46,4.88,22.1,1134,100,98.4,95.4,3.0,Warning
2000,3.75,1.45,23.9,1314,100,94.5,94.7,0.2,Normal
2100,3.58,2.61,29.5,1318,000,99.1,98.39999999999999,0.7,Normal
2200,3.61,3.95,20.0,1189,011,86.9,86.9,0.0,Normal
2300,3.46,3.82,25.0,1351,011,86.3,85.5,0.8,Normal
2400,3.55,2.69,27.1,1107,111,97.6,98.39999999999999,0.8,Normal
2500,3.61,2.39,23.4,1355,011,97.8,97.6,0.2,Normal
2600,3.48,2.59,19.4,1307,011,97.5,96.7,0.8,Normal
2700,3.64,2.06,31.4,1230,100,97.0,94.7,2.3,Warning
2800,3.54,1.82,30.2,1323,001,90.4,88.2,2.2,Warning
2900,3.57,2.93,33.9,1296,011,88.3,86.1,2.2,Warning
3000,3.54,2.07,24.4,1241,001,98.9,97.10000000000001,1.8,Warning
3100,3.79,2.15,33.8,1351,110,89.6,86.3,3.3,Fault
3200,3.6,3.63,37.6,1195,110,91.0,90.9,0.1,Normal
3300,3.49,4.87,31.3,1125,011,95.5,95.2,0.3,Normal
3400,3.68,3.41,27.0,1210,010,89.4,89.2,0.2,Normal
3500,3.48,1.31,30.7,1222,101,97.3,96.89999999999999,0.4,Normal
3600,3.62,1.3,26.7,1285,010,86.1,87.8,1.7,Warning
3700,3.4,4.81,25.9,1267,110,96.9,96.0,0.9,Normal
3800,3.47,2.19,33.4,1150,101,94.0,92.8,1.2,Warning
3900,3.62,1.37,29.3,1104,010,93.6,93.5,0.1,Normal
4000,3.67,3.4,36.0,1176,011,91.9,94.0,2.1,Warning
4100,3.62,3.49,27.8,1259,001,89.2,88.7,0.5,Normal
4200,3.59,3.59,28.3,1307,101,92.0,93.4,1.4,Warning
4300,3.57,2.07,27.2,1356,100,91.8,90.7,1.1,Warning
4400,3.45,1.06,24.4,1304,000,93.8,93.1,0.7,Normal
4500,3.53,4.86,34.1,1354,101,89.2,88.4,0.8,Normal
4600,3.55,2.0,40.9,1110,101,86.2,87.3,1.1,Warning
4700,3.71,3.7,28.1,1107,100,87.2,84.8,2.4,Warning
4800,3.63,3.83,26.6,1131,011,95.5,94.7,0.8,Normal
4900,3.42,3.44,26.3,1127,010,85.3,86.2,0.9,Normal
5000,3.63,2.25,26.6,1305,010,97.8,96.39999999999999,1.4,Warning
5100,3.56,2.08,38.2,1327,110,95.4,94.80000000000001,0.6,Normal
5200,3.53,3.39,26.4,1227,001,96.5,93.2,3.3,Fault
5300,3.66,4.46,27.1,1354,011,97.5,97.8,0.3,Normal
5400,3.7,4.79,23.8,1311,100,86.8,88.2,1.4,Warning
5500,3.69,1.42,31.5,1338,011,97.3,96.39999999999999,0.9,Normal
5600,3.52,1.62,29.7,1306,011,92.6,90.6,2.0,Warning
5700,3.57,4.78,24.3,1382,010,98.3,94.3,4.0,Fault
5800,3.63,3.95,25.5,1344,100,98.3,92.7,5.6,Fault
5900,3.7,4.53,37.7,1144,111,85.4,87.2,1.8,Warning
6000,3.55,1.81,30.2,1204,000,90.7,90.4,0.3,Normal
6100,3.58,3.35,30.5,1380,101,92.9,94.30000000000001,1.4,Warning
6200,3.49,3.8,30.5,1333,010,95.2,95.10000000000001,0.1,Normal
6300,3.48,3.72,37.0,1288,100,89.3,85.1,4.2,Fault
6400,3.68,2.63,24.8,1143,001,88.8,89.5,0.7,Normal
6500,3.74,1.06,28.0,1324,101,90.7,90.2,0.5,Normal
6600,3.59,3.33,29.2,1241,101,92.5,92.9,0.4,Normal
6700,3.7,2.01,21.4,1235,111,99.3,100.3,1.0,Normal
6800,3.64,2.8,25.4,1275,111,96.4,93.2,3.2,Fault
6900,3.54,4.83,35.2,1241,010,91.4,93.2,1.8,Warning
7000,3.64,2.6,33.8,1179,110,85.8,85.39999999999999,0.4,Normal
7100,3.75,4.36,34.7,1181,001,87.5,86.9,0.6,Normal
7200,3.6,1.75,27.1,1234,010,91.8,91.3,0.5,Normal
7300,3.76,3.69,27.7,1306,011,97.2,97.2,0.0,Normal
7400,3.34,4.91,21.1,1276,110,90.7,87.8,2.9,Warning
7500,3.68,1.41,34.7,1342,100,93.1,95.8,2.7,Warning
7600,3.61,1.03,35.5,1154,111,98.4,97.2,1.2,Warning
7700,3.57,2.73,35.4,1240,001,98.7,97.5,1.2,Warning
7800,3.61,1.37,38.0,1155,101,88.2,87.3,0.9,Normal
7900,3.4,3.99,32.1,1114,010,85.7,86.4,0.7,Normal
8000,3.58,4.66,37.8,1284,111,89.6,87.3,2.3,Warning
8100,3.64,2.74,29.0,1187,101,95.4,93.2,2.2,Warning
8200,3.75,2.03,21.2,1196,001,99.3,100.1,0.8,Normal
8300,3.55,2.74,34.3,1243,111,86.2,87.5,1.3,Warning
8400,3.52,3.89,21.0,1107,111,85.4,87.0,1.6,Warning
8500,3.55,1.04,30.9,1314,101,98.3,97.5,0.8,Normal
8600,3.69,3.36,34.8,1272,010,96.2,95.60000000000001,0.6,Normal
8700,3.63,3.45,31.6,1322,110,99.9,99.9,0.0,Normal
8800,3.55,3.55,41.4,1139,010,91.0,87.4,3.6,Fault
8900,3.65,1.97,20.2,1281,000,91.2,91.4,0.2,Normal
9000,3.61,3.86,29.6,1369,111,87.6,86.8,0.8,Normal
9100,3.7,1.37,30.1,1286,101,86.7,86.5,0.2,Normal
9200,3.53,1.8,23.3,1344,000,93.7,90.3,3.4,Fault
9300,3.57,4.51,24.2,1330,110,90.5,93.0,2.5,Warning
9400,3.56,3.95,25.8,1254,000,86.2,86.2,0.0,Normal
9500,3.45,1.05,24.5,1274,101,98.3,96.89999999999999,1.4,Warning
9600,3.63,1.99,29.5,1214,001,88.0,87.8,0.2,Normal
9700,3.63,1.86,27.0,1399,011,96.2,97.7,1.5,Warning
9800,3.6,2.08,31.6,1117,110,89.2,88.4,0.8,Normal
9900,3.58,1.99,33.2,1371,010,97.2,99.10000000000001,1.9,Warning
10000,3.46,1.25,32.9,1111,100,86.8,85.3,1.5,Warning
10100,3.56,2.84,27.9,1291,110,96.3,96.39999999999999,0.1,Normal
